DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,114.4,114.4,106.81,110.36,109.0,108.04,109.34,158.8,104.95,323391,35360449.32,6401,SANSTAR
2025-01-23,EQ,111.27,113.09,109.9,111.26,110.48,110.36,111.14,158.8,104.95,337757,37539334.71,6728,SANSTAR
2025-01-22,EQ,114.0,114.93,109.6,113.29,111.99,111.26,111.41,158.8,104.95,301837,33626248.63,5271,SANSTAR
2025-01-21,EQ,117.15,118.0,112.59,115.4,113.0,113.29,114.84,158.8,104.95,191737,22018218.43,4390,SANSTAR
2025-01-20,EQ,116.0,117.0,115.01,116.01,115.35,115.4,115.54,158.8,104.95,214661,24802524.93,2894,SANSTAR
2025-01-17,EQ,116.9,117.0,114.61,116.59,115.95,116.01,115.79,158.8,104.95,195483,22634996.94,4400,SANSTAR
2025-01-16,EQ,116.0,117.69,114.0,113.97,116.99,116.59,115.75,158.8,104.95,847290,98075218.78,7234,SANSTAR
2025-01-15,EQ,112.0,117.1,112.0,112.69,114.1,113.97,114.1,158.8,104.95,310292,35404742.01,6813,SANSTAR
2025-01-14,EQ,109.0,114.53,108.61,108.1,112.8,112.69,111.13,158.8,104.95,322103,35796839.19,6358,SANSTAR
2025-01-13,EQ,113.69,113.69,106.39,113.92,108.0,108.1,110.07,158.8,104.95,526422,57945362.69,10118,SANSTAR
2025-01-10,EQ,119.4,119.4,113.55,118.2,114.3,113.92,115.13,158.8,104.95,415106,47789780.85,7859,SANSTAR
2025-01-09,EQ,119.35,121.34,117.72,120.13,118.03,118.2,119.41,158.8,104.95,289768,34600785.24,5349,SANSTAR
2025-01-08,EQ,123.98,123.98,119.5,123.16,120.02,120.13,121.03,158.8,104.95,274498,33223486.5,5721,SANSTAR
2025-01-07,EQ,122.99,125.37,122.2,121.2,123.0,123.16,123.75,158.8,104.95,374228,46311626.17,5388,SANSTAR
2025-01-06,EQ,131.0,131.45,120.5,130.25,122.0,121.2,124.07,158.8,104.95,836423,103776831.8,14217,SANSTAR
2025-01-03,EQ,128.0,133.8,127.93,128.16,129.5,130.25,130.67,158.8,104.95,1676566,219075709.17,15749,SANSTAR
2025-01-02,EQ,123.39,128.99,122.44,122.99,128.1,128.16,126.61,158.8,104.95,885578,112119875.9,9911,SANSTAR
2025-01-01,EQ,120.24,123.8,120.24,120.11,122.33,122.99,122.31,158.8,104.95,263996,32289571.32,4221,SANSTAR
2024-12-31,EQ,119.0,121.0,117.68,119.0,119.25,120.11,119.45,158.8,104.95,306824,36650051.65,5289,SANSTAR
2024-12-30,EQ,120.0,122.01,118.15,122.35,118.2,119.0,119.73,158.8,104.95,413408,49496333.64,5184,SANSTAR
