DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,560.0,589.9,543.45,542.15,568.0,560.65,567.45,609.65,435.25,3712575,2106693149.05,90563,SENORES
2025-01-23,EQ,500.0,584.05,498.1,498.5,549.0,542.15,551.25,609.65,435.25,3743028,2063355025.45,103036,SENORES
2025-01-22,EQ,510.0,512.75,490.05,510.15,500.0,498.5,498.82,609.65,435.25,287355,143338674.85,15949,SENORES
2025-01-21,EQ,528.0,529.1,504.2,525.3,508.7,510.15,516.48,609.65,435.25,314089,162220525.2,14022,SENORES
2025-01-20,EQ,530.0,534.9,515.0,525.4,525.0,525.3,524.48,609.65,435.25,316083,165778416.45,15481,SENORES
2025-01-17,EQ,509.1,530.9,499.75,510.8,524.0,525.4,516.98,609.65,435.25,610889,315820406.95,29221,SENORES
2025-01-16,EQ,477.6,521.1,476.0,470.5,513.9,510.8,497.72,609.65,435.25,711509,354129820.95,24554,SENORES
2025-01-15,EQ,472.2,497.7,460.5,464.75,472.2,470.5,477.22,609.65,435.25,759109,362259278.35,26070,SENORES
2025-01-14,EQ,446.15,469.95,445.1,444.3,469.0,464.75,460.95,609.65,435.25,431298,198807548.3,18748,SENORES
2025-01-13,EQ,494.2,501.55,435.25,502.85,439.0,444.3,467.77,609.65,435.25,1009910,472410123.25,38948,SENORES
2025-01-10,EQ,540.0,541.95,500.25,531.2,502.75,502.85,518.25,609.65,500.25,684025,354492958.5,31503,SENORES
2025-01-09,EQ,560.0,563.0,527.95,556.15,530.8,531.2,543.43,609.65,527.95,467087,253829619.65,16663,SENORES
2025-01-08,EQ,559.5,566.9,549.8,559.5,556.9,556.15,557.57,609.65,536.7,504450,281266120.3,16535,SENORES
2025-01-07,EQ,559.65,567.0,548.7,552.9,558.2,559.5,558.49,609.65,536.7,521260,291116888.5,14304,SENORES
2025-01-06,EQ,576.35,576.35,536.7,573.15,549.9,552.9,553.96,609.65,536.7,1356057,751198610.65,31892,SENORES
2025-01-03,EQ,572.0,597.15,570.9,572.9,573.9,573.15,583.93,609.65,538.85,2043200,1193077802.0,43991,SENORES
2025-01-02,EQ,572.0,592.0,560.7,571.3,574.0,572.9,576.63,609.65,538.85,1917532,1105701830.9,52237,SENORES
2025-01-01,EQ,572.0,586.1,567.8,568.6,569.0,571.3,576.05,609.65,538.85,1164442,670778080.25,25492,SENORES
2024-12-31,EQ,575.0,580.9,547.4,557.05,568.0,568.6,566.14,609.65,538.85,2842594,1609312269.8,57391,SENORES
2024-12-30,EQ,600.0,609.65,538.85,391.0,562.0,557.05,579.22,609.65,538.85,14234437,8244937659.5,228487,SENORES
