DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,170.8,171.19,161.5,170.63,163.07,164.6,165.26,213.8,157.15,3121943,515943470.07,34093,SGLTL
2025-01-23,EQ,171.01,174.24,168.5,170.86,169.14,170.63,171.26,213.8,157.15,3359018,575255216.16,35652,SGLTL
2025-01-22,EQ,175.71,176.69,163.01,174.57,171.0,170.86,169.21,213.8,157.15,5673369,959980384.72,66042,SGLTL
2025-01-21,EQ,177.7,185.1,172.16,177.18,174.01,174.57,178.78,213.8,157.15,7001953,1251791235.04,70824,SGLTL
2025-01-20,EQ,190.0,193.42,175.65,190.41,176.82,177.18,184.04,213.8,157.15,9294054,1710455357.63,89939,SGLTL
2025-01-17,EQ,197.0,202.8,188.1,199.45,189.4,190.41,194.85,213.8,157.15,12398644,2415825464.79,120433,SGLTL
2025-01-16,EQ,208.17,213.8,194.65,199.22,197.0,199.45,204.67,213.8,157.15,32836850,6720846726.05,212239,SGLTL
2025-01-15,EQ,167.5,199.22,161.5,166.02,199.22,199.22,187.41,199.22,157.15,40725167,7632391467.38,241121,SGLTL
2025-01-14,EQ,167.5,173.3,157.15,163.28,165.3,166.02,166.66,182.0,157.15,15156194,2525913108.09,140390,SGLTL
2025-01-13,EQ,172.0,182.0,161.0,140.0,163.2,163.28,171.97,182.0,161.0,45302299,7790448874.74,382054,SGLTL
