DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,325.95,325.95,314.1,321.4,315.1,315.1,317.39,431.15,283.55,104175,33064177.0,3730,STYLEBAAZA
2025-01-23,EQ,312.2,325.0,312.2,316.65,320.0,321.4,318.64,431.15,283.55,131005,41743346.15,6461,STYLEBAAZA
2025-01-22,EQ,311.0,319.75,295.0,311.45,319.0,316.65,308.69,431.15,283.55,242029,74711905.45,11517,STYLEBAAZA
2025-01-21,EQ,310.0,316.8,298.2,307.2,312.5,311.45,309.15,431.15,283.55,226479,70015270.55,10284,STYLEBAAZA
2025-01-20,EQ,287.5,309.3,287.5,287.6,307.8,307.2,300.58,431.15,283.55,281130,84502285.3,9880,STYLEBAAZA
2025-01-17,EQ,291.1,293.35,286.05,290.4,287.4,287.6,288.51,431.15,283.55,123614,35663547.05,3612,STYLEBAAZA
2025-01-16,EQ,293.1,296.65,289.0,291.5,290.05,290.4,292.37,431.15,283.55,105020,30704409.55,4474,STYLEBAAZA
2025-01-15,EQ,295.5,296.45,289.4,293.8,290.35,291.5,292.23,431.15,283.55,123664,36138866.2,8003,STYLEBAAZA
2025-01-14,EQ,290.0,299.5,287.9,286.9,292.5,293.8,293.19,431.15,283.55,171435,50263745.75,10898,STYLEBAAZA
2025-01-13,EQ,307.0,307.15,283.55,309.7,288.4,286.9,291.93,431.15,283.55,256580,74903140.25,16222,STYLEBAAZA
2025-01-10,EQ,317.0,318.0,306.6,317.4,309.0,309.7,311.71,431.15,306.0,117170,36523198.45,5008,STYLEBAAZA
2025-01-09,EQ,318.25,328.5,316.6,321.4,318.0,317.4,323.49,431.15,306.0,137692,44542511.95,3775,STYLEBAAZA
2025-01-08,EQ,318.9,322.95,315.05,318.25,321.85,321.4,318.89,431.15,306.0,94837,30242702.0,4399,STYLEBAAZA
2025-01-07,EQ,317.4,322.0,314.25,315.45,317.0,318.25,317.66,431.15,306.0,158959,50494280.3,5096,STYLEBAAZA
2025-01-06,EQ,344.0,344.0,312.05,342.55,315.7,315.45,325.26,431.15,306.0,758689,246773652.95,27461,STYLEBAAZA
2025-01-03,EQ,325.25,352.95,321.0,318.65,342.1,342.55,343.75,431.15,306.0,1369596,470797029.35,49058,STYLEBAAZA
2025-01-02,EQ,316.0,323.0,311.1,316.3,316.95,318.65,315.28,431.15,306.0,229938,72493953.4,9518,STYLEBAAZA
2025-01-01,EQ,310.45,317.4,310.0,309.6,316.95,316.3,314.53,431.15,306.0,115938,36465987.85,4177,STYLEBAAZA
2024-12-31,EQ,312.95,313.75,308.1,313.0,310.0,309.6,309.86,431.15,306.0,108856,33730101.55,4043,STYLEBAAZA
2024-12-30,EQ,315.35,317.25,309.0,315.15,312.6,313.0,312.88,431.15,306.0,122084,38197037.75,5401,STYLEBAAZA
2024-12-27,EQ,315.35,317.5,313.1,314.65,313.75,315.15,315.82,431.15,306.0,124291,39253978.2,4839,STYLEBAAZA
2024-12-26,EQ,316.95,318.45,311.1,314.5,315.3,314.65,314.36,431.15,306.0,158891,49949755.4,5783,STYLEBAAZA
2024-12-24,EQ,317.15,317.95,312.6,317.1,314.2,314.5,314.65,431.15,306.0,122969,38691858.4,4799,STYLEBAAZA
2024-12-23,EQ,325.05,327.05,315.2,322.05,316.1,317.1,318.95,431.15,306.0,207532,66191573.0,9480,STYLEBAAZA
2024-12-20,EQ,328.5,330.5,318.2,327.85,320.85,322.05,322.13,431.15,306.0,282495,90999967.1,14848,STYLEBAAZA
2024-12-19,EQ,334.4,337.0,321.0,337.15,328.65,327.85,330.17,431.15,306.0,328945,108606660.35,29356,STYLEBAAZA
2024-12-18,EQ,340.45,349.9,334.85,338.0,337.0,337.15,340.61,431.15,306.0,362876,123599642.65,16726,STYLEBAAZA
2024-12-17,EQ,350.5,357.45,335.3,351.1,339.0,338.0,342.56,431.15,306.0,355684,121841682.8,13684,STYLEBAAZA
2024-12-16,EQ,361.6,361.7,350.0,358.6,351.5,351.1,355.52,431.15,306.0,141369,50259136.15,5126,STYLEBAAZA
2024-12-13,EQ,357.75,361.3,344.5,361.35,357.0,358.6,354.88,431.15,306.0,350980,124556758.85,13668,STYLEBAAZA
2024-12-12,EQ,356.95,372.7,356.95,356.5,360.0,361.35,363.9,431.15,306.0,566515,206153778.1,19986,STYLEBAAZA
2024-12-11,EQ,352.0,363.0,350.0,351.15,356.9,356.5,355.43,431.15,306.0,298241,106002356.25,7495,STYLEBAAZA
2024-12-10,EQ,358.95,359.8,348.0,360.2,352.0,351.15,353.87,431.15,306.0,193817,68585816.3,8170,STYLEBAAZA
2024-12-09,EQ,345.15,367.0,345.15,345.15,359.4,360.2,359.0,431.15,306.0,626162,224790843.85,22694,STYLEBAAZA
2024-12-06,EQ,325.0,363.9,323.55,320.6,346.0,345.15,350.4,431.15,306.0,2012978,705349809.0,53696,STYLEBAAZA
2024-12-05,EQ,328.8,328.8,309.3,326.3,322.25,320.6,318.27,431.15,306.0,608331,193613320.35,16941,STYLEBAAZA
2024-12-04,EQ,341.5,342.35,324.6,338.3,325.8,326.3,330.04,431.15,306.0,313123,103341572.6,15683,STYLEBAAZA
2024-12-03,EQ,345.0,348.0,335.1,346.85,338.55,338.3,339.77,431.15,306.0,192191,65300722.75,10977,STYLEBAAZA
2024-12-02,EQ,345.95,352.0,344.35,345.9,348.75,346.85,347.23,431.15,306.0,103322,35876185.5,5360,STYLEBAAZA
2024-11-29,EQ,335.8,350.05,330.95,335.8,348.8,345.9,341.93,431.15,306.0,252074,86191681.9,6272,STYLEBAAZA
2024-11-28,EQ,333.9,341.4,331.0,331.15,335.9,335.8,336.44,431.15,306.0,210417,70792481.6,6702,STYLEBAAZA
2024-11-27,EQ,326.25,334.15,323.85,326.25,329.4,331.15,328.23,431.15,306.0,251118,82424653.55,7117,STYLEBAAZA
2024-11-26,EQ,317.0,329.3,314.3,317.75,328.0,326.25,324.41,431.15,306.0,177680,57641016.65,12159,STYLEBAAZA
2024-11-25,EQ,314.9,320.0,309.75,311.7,316.95,317.75,315.5,431.15,306.0,151230,47712692.2,8474,STYLEBAAZA
2024-11-22,EQ,309.05,315.7,306.3,307.65,311.8,311.7,310.52,431.15,306.0,74959,23276057.2,4933,STYLEBAAZA
2024-11-21,EQ,314.95,315.0,306.0,319.1,307.4,307.65,308.83,431.15,306.0,165610,51145872.0,10694,STYLEBAAZA
2024-11-19,EQ,319.45,326.65,314.65,317.6,315.15,319.1,320.74,431.15,306.75,113727,36477125.7,8379,STYLEBAAZA
2024-11-18,EQ,319.45,322.0,306.75,315.25,318.25,317.6,313.51,431.15,306.75,130280,40843501.4,10251,STYLEBAAZA
2024-11-14,EQ,319.0,325.0,312.8,317.4,315.0,315.25,318.64,431.15,312.8,143070,45587396.1,8834,STYLEBAAZA
2024-11-13,EQ,330.5,335.45,315.9,332.6,319.55,317.4,322.76,431.15,315.9,173305,55935647.3,11514,STYLEBAAZA
2024-11-12,EQ,338.0,341.65,330.0,337.9,332.8,332.6,336.02,431.15,317.1,112175,37692851.3,6803,STYLEBAAZA
2024-11-11,EQ,337.4,344.3,330.6,337.35,335.0,337.9,336.2,431.15,317.1,205268,69011271.05,10192,STYLEBAAZA
2024-11-08,EQ,349.75,349.75,335.0,349.65,335.0,337.35,339.39,431.15,317.1,312002,105889509.35,16648,STYLEBAAZA
2024-11-07,EQ,367.5,373.4,345.3,367.5,350.55,349.65,357.59,431.15,317.1,851267,304402617.95,30604,STYLEBAAZA
2024-11-06,EQ,346.65,370.85,344.1,342.3,369.5,367.5,358.79,431.15,317.1,402570,144437190.05,12085,STYLEBAAZA
2024-11-05,EQ,345.0,357.0,340.8,344.95,343.15,342.3,347.91,431.15,317.1,326484,113586562.25,11344,STYLEBAAZA
2024-11-04,EQ,355.0,355.0,341.1,347.1,345.0,344.95,345.84,431.15,317.1,143613,49666830.65,7005,STYLEBAAZA
2024-11-01,EQ,345.0,354.25,343.35,341.25,347.1,347.1,346.78,431.15,317.1,42958,14896773.95,1886,STYLEBAAZA
