DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,329.0,332.95,316.55,329.0,318.15,320.2,323.1,449.0,316.55,90477,29232750.75,6984,SURAKSHA
2025-01-23,EQ,330.05,336.6,326.95,332.85,328.5,329.0,332.25,449.0,326.55,57459,19090847.95,4259,SURAKSHA
2025-01-22,EQ,336.4,341.7,326.55,336.4,334.2,332.85,331.53,449.0,326.55,137882,45711766.2,6196,SURAKSHA
2025-01-21,EQ,353.9,356.7,333.35,350.5,337.0,336.4,342.89,449.0,328.6,89652,30740984.45,5661,SURAKSHA
2025-01-20,EQ,355.0,357.2,349.0,357.2,350.1,350.5,352.67,449.0,328.6,40651,14336232.45,3182,SURAKSHA
2025-01-17,EQ,360.0,360.0,354.15,360.9,358.0,357.2,356.88,449.0,328.6,127166,45383322.55,2878,SURAKSHA
2025-01-16,EQ,362.65,368.4,358.8,357.3,362.0,360.9,362.54,449.0,328.6,112385,40743812.0,4910,SURAKSHA
2025-01-15,EQ,355.95,367.0,348.4,355.35,358.0,357.3,358.71,449.0,328.6,177951,63832146.0,8253,SURAKSHA
2025-01-14,EQ,334.55,358.85,328.6,332.65,355.95,355.35,342.44,449.0,328.6,177052,60630491.85,9001,SURAKSHA
2025-01-13,EQ,343.0,345.55,330.0,349.8,331.0,332.65,337.71,449.0,330.0,176970,59763975.75,8031,SURAKSHA
2025-01-10,EQ,365.0,365.0,347.75,363.4,348.0,349.8,354.12,449.0,347.75,128287,45429515.85,6356,SURAKSHA
2025-01-09,EQ,371.5,373.8,360.0,371.55,362.55,363.4,366.42,449.0,353.85,112652,41278502.3,6129,SURAKSHA
2025-01-08,EQ,385.95,388.0,368.15,384.95,370.0,371.55,376.9,449.0,353.85,140525,52963177.25,7560,SURAKSHA
2025-01-07,EQ,383.05,389.4,379.05,386.5,385.0,384.95,384.05,449.0,353.85,313603,120438387.5,8340,SURAKSHA
2025-01-06,EQ,375.95,396.4,368.8,378.25,383.0,386.5,386.08,449.0,353.85,808360,312087993.2,23279,SURAKSHA
2025-01-03,EQ,374.3,383.5,372.3,379.95,378.0,378.25,375.94,449.0,353.85,215225,80912216.65,7035,SURAKSHA
2025-01-02,EQ,380.0,382.85,373.5,380.1,376.0,379.95,377.98,449.0,353.85,176255,66621593.2,7050,SURAKSHA
2025-01-01,EQ,378.4,383.55,370.0,375.65,380.6,380.1,377.05,449.0,353.85,236740,89263489.0,10327,SURAKSHA
2024-12-31,EQ,370.0,378.7,353.85,374.85,373.75,375.65,365.14,449.0,353.85,618283,225759863.15,22566,SURAKSHA
2024-12-30,EQ,382.05,384.05,369.05,384.1,372.3,374.85,374.78,449.0,369.05,267378,100207741.25,11990,SURAKSHA
2024-12-27,EQ,392.5,399.1,381.5,391.75,382.1,384.1,389.84,449.0,381.5,288368,112418725.15,13045,SURAKSHA
2024-12-26,EQ,395.95,398.3,390.2,397.55,392.75,391.75,392.73,449.0,390.2,249327,97919209.3,9718,SURAKSHA
2024-12-24,EQ,400.0,404.2,392.15,404.5,395.85,397.55,396.62,449.0,392.15,431304,171061978.35,10704,SURAKSHA
2024-12-23,EQ,421.95,421.95,398.85,412.15,405.0,404.5,405.71,449.0,398.35,441242,179018339.25,13249,SURAKSHA
2024-12-20,EQ,412.65,415.8,409.8,408.0,413.9,412.15,412.2,449.0,398.35,663187,273368400.4,14244,SURAKSHA
2024-12-19,EQ,401.0,411.85,399.05,407.05,408.9,408.0,406.12,449.0,398.35,357534,145202072.35,13231,SURAKSHA
2024-12-18,EQ,413.9,413.9,398.35,411.3,408.25,407.05,405.4,449.0,398.35,690351,279869139.95,19622,SURAKSHA
2024-12-17,EQ,422.9,426.0,409.0,418.65,410.0,411.3,415.61,449.0,402.1,500940,208193413.45,16371,SURAKSHA
2024-12-16,EQ,420.0,446.0,415.2,411.35,417.75,418.65,429.58,449.0,402.1,2373444,1019578293.0,55547,SURAKSHA
2024-12-13,EQ,410.5,414.65,406.8,410.55,412.0,411.35,410.36,449.0,402.1,650097,266776741.0,13964,SURAKSHA
2024-12-12,EQ,417.0,418.35,406.0,417.75,410.0,410.55,410.43,449.0,402.1,625887,256879760.1,23060,SURAKSHA
2024-12-11,EQ,402.4,423.25,402.4,405.4,416.3,417.75,415.72,449.0,402.1,1617064,672248338.05,40686,SURAKSHA
2024-12-10,EQ,414.75,416.75,402.1,410.7,405.3,405.4,407.08,449.0,402.1,1161752,472922014.8,32257,SURAKSHA
2024-12-09,EQ,412.0,426.95,410.0,417.25,410.5,410.7,415.94,449.0,410.0,1538114,639764658.15,51527,SURAKSHA
2024-12-06,EQ,438.0,449.0,414.95,441.0,417.05,417.25,433.47,449.0,414.95,6747269,2924725543.05,89127,SURAKSHA
