DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,463.2,463.9,441.0,460.9,446.4,449.05,450.92,617.3,391.0,12225785,5512812693.45,164337,SWIGGY
2025-01-23,EQ,434.5,465.0,433.9,433.7,463.5,460.9,453.68,617.3,391.0,13375717,6068295374.6,157275,SWIGGY
2025-01-22,EQ,441.0,445.45,413.6,440.45,434.5,433.7,426.82,617.3,391.0,17727617,7566469938.25,235377,SWIGGY
2025-01-21,EQ,470.0,471.3,427.05,479.2,440.8,440.45,442.18,617.3,391.0,19799027,8754674817.3,272246,SWIGGY
2025-01-20,EQ,475.7,483.75,464.45,473.1,475.0,479.2,476.76,617.3,391.0,6636117,3163811398.25,126080,SWIGGY
2025-01-17,EQ,483.5,489.5,467.2,483.0,473.9,473.1,476.44,617.3,391.0,6245233,2975488315.3,108764,SWIGGY
2025-01-16,EQ,505.0,514.8,479.0,487.3,485.0,483.0,492.05,617.3,391.0,10078943,4959322425.5,136737,SWIGGY
2025-01-15,EQ,474.0,494.4,470.05,464.55,488.1,487.3,484.5,617.3,391.0,11912348,5771582220.85,156217,SWIGGY
2025-01-14,EQ,465.2,481.45,460.1,463.1,464.9,464.55,472.65,617.3,391.0,8019502,3790436866.85,105481,SWIGGY
2025-01-13,EQ,481.15,487.9,458.3,492.3,465.0,463.1,470.18,617.3,391.0,8311612,3907967719.45,151569,SWIGGY
2025-01-10,EQ,504.0,505.9,488.55,507.5,492.0,492.3,494.99,617.3,391.0,5638811,2791152776.1,102316,SWIGGY
2025-01-09,EQ,505.15,521.4,497.05,490.6,506.7,507.5,507.66,617.3,391.0,14972600,7600928038.1,182048,SWIGGY
2025-01-08,EQ,514.9,515.2,486.2,509.25,491.75,490.6,493.46,617.3,391.0,9326257,4602091373.85,147056,SWIGGY
2025-01-07,EQ,538.0,538.0,505.15,532.1,509.85,509.25,515.92,617.3,391.0,12034803,6208952421.65,150886,SWIGGY
2025-01-06,EQ,544.4,546.55,520.2,541.45,540.05,532.1,532.04,617.3,391.0,7196227,3828659483.15,144147,SWIGGY
2025-01-03,EQ,557.0,558.85,540.0,556.45,541.0,541.45,545.73,617.3,391.0,6023536,3287232033.2,77400,SWIGGY
2025-01-02,EQ,545.1,558.0,539.35,542.35,555.9,556.45,549.99,617.3,391.0,6483910,3566082565.95,92129,SWIGGY
2025-01-01,EQ,544.25,554.4,538.2,540.9,543.0,542.35,545.8,617.3,391.0,4500187,2456214268.75,69069,SWIGGY
2024-12-31,EQ,552.0,561.0,535.2,550.65,542.0,540.9,543.48,617.3,391.0,5400223,2934921074.85,86157,SWIGGY
2024-12-30,EQ,548.0,568.0,542.0,545.95,550.0,550.65,555.96,617.3,391.0,7669754,4264078073.05,108749,SWIGGY
2024-12-27,EQ,563.0,564.0,541.25,559.05,546.6,545.95,549.06,617.3,391.0,5812587,3191455699.6,79567,SWIGGY
2024-12-26,EQ,571.9,575.8,555.2,568.1,556.8,559.05,567.11,617.3,391.0,7705705,4369968305.1,119855,SWIGGY
2024-12-24,EQ,589.0,594.0,561.1,583.65,564.0,568.1,572.05,617.3,391.0,11010976,6298818248.85,154859,SWIGGY
