DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,1653.2,1653.2,1578.0,1628.75,1578.9,1597.75,1612.72,2001.0,1231.65,29851,48141196.2,6693,TBOTEK
2025-01-23,EQ,1586.5,1650.9,1578.65,1588.1,1628.0,1628.75,1629.68,2001.0,1231.65,36859,60068232.15,6893,TBOTEK
2025-01-22,EQ,1624.0,1636.1,1580.0,1618.15,1590.0,1588.1,1598.36,2001.0,1231.65,39629,63341379.2,7268,TBOTEK
2025-01-21,EQ,1655.0,1655.0,1610.05,1657.1,1624.4,1618.15,1624.35,2001.0,1231.65,42903,69689422.0,6651,TBOTEK
2025-01-20,EQ,1674.9,1708.3,1632.0,1668.3,1641.9,1657.1,1659.17,2001.0,1231.65,216922,359909425.2,10812,TBOTEK
2025-01-17,EQ,1723.35,1723.35,1651.0,1697.9,1675.0,1668.3,1677.13,2001.0,1231.65,70627,118450514.15,10348,TBOTEK
2025-01-16,EQ,1725.2,1725.2,1666.05,1699.7,1700.45,1697.9,1696.85,2001.0,1231.65,66244,112406034.65,8372,TBOTEK
2025-01-15,EQ,1699.3,1717.05,1685.0,1682.3,1700.0,1699.7,1699.1,2001.0,1231.65,72961,123968074.15,11057,TBOTEK
2025-01-14,EQ,1659.8,1733.35,1625.3,1659.8,1681.5,1682.3,1690.53,2001.0,1231.65,55052,93067246.75,9832,TBOTEK
2025-01-13,EQ,1680.0,1697.75,1607.8,1741.3,1657.0,1659.8,1649.97,2001.0,1231.65,189474,312625601.0,27598,TBOTEK
2025-01-10,EQ,1740.45,1798.0,1705.0,1742.9,1731.25,1741.3,1755.32,2001.0,1231.65,173529,304599742.95,18490,TBOTEK
2025-01-09,EQ,1784.85,1784.85,1730.0,1774.4,1745.0,1742.9,1749.93,2001.0,1231.65,70265,122958975.0,8933,TBOTEK
2025-01-08,EQ,1748.1,1830.0,1743.0,1743.1,1775.0,1774.4,1789.89,2001.0,1231.65,231195,413812554.0,23930,TBOTEK
2025-01-07,EQ,1769.0,1769.05,1720.6,1772.0,1748.0,1743.1,1739.79,2001.0,1231.65,83013,144424832.8,11072,TBOTEK
2025-01-06,EQ,1817.3,1845.55,1761.05,1790.45,1768.0,1772.0,1804.8,2001.0,1231.65,175629,316975541.6,19362,TBOTEK
2025-01-03,EQ,1779.95,1818.0,1771.9,1791.9,1794.0,1790.45,1795.94,2001.0,1231.65,41554,74628284.95,6167,TBOTEK
2025-01-02,EQ,1779.05,1815.9,1762.55,1761.45,1798.0,1791.9,1796.49,2001.0,1231.65,94810,170325345.85,10317,TBOTEK
2025-01-01,EQ,1741.05,1789.0,1712.25,1734.15,1770.0,1761.45,1759.64,2001.0,1231.65,81691,143747145.5,12708,TBOTEK
2024-12-31,EQ,1755.0,1755.2,1717.25,1748.95,1734.6,1734.15,1733.13,2001.0,1231.65,51770,89723914.95,10217,TBOTEK
2024-12-30,EQ,1714.9,1763.95,1691.15,1704.25,1748.65,1748.95,1734.95,2001.0,1231.65,180431,313039256.9,23802,TBOTEK
2024-12-27,EQ,1698.85,1735.95,1681.0,1690.0,1703.8,1704.25,1707.68,2001.0,1231.65,60464,103252914.35,7993,TBOTEK
2024-12-26,EQ,1696.55,1722.55,1659.0,1696.55,1686.0,1690.0,1693.04,2001.0,1231.65,121392,205521905.7,10165,TBOTEK
2024-12-24,EQ,1658.0,1746.45,1645.05,1661.1,1701.0,1696.55,1712.31,2001.0,1231.65,207199,354788818.05,33820,TBOTEK
2024-12-23,EQ,1695.55,1695.55,1647.2,1684.8,1673.0,1661.1,1669.46,2001.0,1231.65,66380,110818756.45,12366,TBOTEK
2024-12-20,EQ,1699.8,1722.0,1666.8,1699.8,1685.0,1684.8,1700.9,2001.0,1231.65,75489,128399275.5,10990,TBOTEK
2024-12-19,EQ,1690.0,1708.4,1671.05,1721.8,1697.85,1699.8,1687.61,2001.0,1231.65,77250,130368159.25,11462,TBOTEK
2024-12-18,EQ,1745.5,1748.0,1705.0,1739.35,1719.9,1721.8,1724.53,2001.0,1231.65,109588,188987520.3,16449,TBOTEK
2024-12-17,EQ,1680.5,1753.5,1663.05,1673.7,1739.0,1739.35,1723.39,2001.0,1231.65,256191,441516013.6,31426,TBOTEK
2024-12-16,EQ,1689.0,1704.95,1656.95,1635.6,1682.0,1673.7,1677.49,2001.0,1231.65,206992,347226148.4,25717,TBOTEK
2024-12-13,EQ,1624.95,1664.0,1593.95,1634.25,1626.85,1635.6,1636.84,2001.0,1231.65,99401,162703185.35,13446,TBOTEK
2024-12-12,EQ,1639.95,1671.95,1618.95,1651.6,1626.25,1634.25,1640.04,2001.0,1231.65,86761,142291739.4,10279,TBOTEK
2024-12-11,EQ,1581.7,1658.7,1561.2,1574.35,1647.0,1651.6,1627.98,2001.0,1231.65,317492,516871828.55,30390,TBOTEK
2024-12-10,EQ,1524.1,1588.8,1515.05,1524.1,1578.05,1574.35,1560.74,2001.0,1231.65,193614,302181855.0,18770,TBOTEK
2024-12-09,EQ,1529.0,1544.2,1495.0,1524.05,1520.0,1524.1,1513.97,2001.0,1231.65,284897,431324960.4,37338,TBOTEK
2024-12-06,EQ,1503.5,1528.0,1492.7,1519.4,1525.0,1524.05,1512.71,2001.0,1231.65,127308,192580089.8,12372,TBOTEK
2024-12-05,EQ,1546.8,1557.9,1460.1,1539.65,1510.0,1519.4,1500.7,2001.0,1231.65,426133,639496364.8,39026,TBOTEK
2024-12-04,EQ,1545.0,1586.1,1520.75,1528.0,1540.0,1539.65,1546.15,2001.0,1231.65,222973,344749966.85,26190,TBOTEK
