DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-09-02,EQ,579.65,589.0,562.45,571.15,583.3,583.95,574.96,618.9,329.0,1640199,943047900.25,15017,TCNSBRANDS
2024-08-30,EQ,574.0,581.5,568.4,573.05,571.95,571.15,577.76,618.9,329.0,627168,362351052.7,7333,TCNSBRANDS
2024-08-29,EQ,583.9,583.9,565.25,573.15,574.0,573.05,570.6,618.9,329.0,1653510,943496112.15,8787,TCNSBRANDS
2024-08-28,EQ,577.1,585.95,567.75,575.75,572.0,573.15,575.86,618.9,329.0,8253964,4753168947.0,118583,TCNSBRANDS
2024-08-27,EQ,574.9,581.4,570.75,574.35,576.2,575.75,575.02,618.9,329.0,68024,39115137.4,2465,TCNSBRANDS
2024-08-26,EQ,571.9,582.95,564.15,570.75,574.0,574.35,572.63,618.9,329.0,183604,105136885.7,6986,TCNSBRANDS
2024-08-23,EQ,560.45,574.45,558.85,560.45,572.0,570.75,566.73,618.9,329.0,116624,66094818.35,5978,TCNSBRANDS
2024-08-22,EQ,568.9,569.9,557.55,566.8,560.0,560.45,564.53,618.9,329.0,35024,19772069.5,2065,TCNSBRANDS
2024-08-21,EQ,576.8,576.8,564.3,572.85,565.9,566.8,568.99,618.9,329.0,14726,8378994.95,837,TCNSBRANDS
2024-08-20,EQ,569.9,576.0,560.0,568.8,575.0,572.85,568.28,618.9,329.0,100084,56875627.3,2521,TCNSBRANDS
2024-08-19,EQ,569.0,573.3,566.6,565.45,567.1,568.8,569.53,618.9,329.0,48912,27856813.5,2271,TCNSBRANDS
2024-08-16,EQ,545.65,568.5,545.65,545.65,568.5,565.45,561.44,618.9,329.0,44081,24748829.95,2070,TCNSBRANDS
2024-08-14,EQ,553.0,553.0,534.8,550.7,548.0,545.65,542.1,618.9,329.0,146977,79676203.6,5178,TCNSBRANDS
2024-08-13,EQ,566.8,569.9,546.4,566.8,546.4,550.7,562.42,618.9,329.0,69892,39308603.45,3847,TCNSBRANDS
2024-08-12,EQ,578.0,580.0,562.1,573.55,566.3,566.8,572.58,618.9,329.0,68888,39443587.2,3664,TCNSBRANDS
2024-08-09,EQ,563.9,578.7,558.6,562.25,578.0,573.55,563.56,618.9,329.0,343171,193397912.35,3864,TCNSBRANDS
2024-08-08,EQ,575.7,576.4,555.1,575.95,561.35,562.25,562.53,618.9,329.0,1820533,1024098825.8,8240,TCNSBRANDS
2024-08-07,EQ,575.25,587.9,568.15,572.25,575.1,575.95,580.05,618.9,329.0,2683624,1556624886.8,16512,TCNSBRANDS
2024-08-06,EQ,574.0,606.95,569.35,578.35,574.0,572.25,585.85,618.9,329.0,508062,297647361.45,8186,TCNSBRANDS
2024-08-05,EQ,573.0,598.0,569.0,598.0,575.2,578.35,583.5,618.9,329.0,137393,80168332.6,7223,TCNSBRANDS
2024-08-02,EQ,585.0,610.65,585.0,595.75,595.25,598.0,597.6,618.9,329.0,94960,56748035.2,6959,TCNSBRANDS
