DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,555.0,556.35,522.8,557.3,526.05,528.05,536.96,718.9,522.8,2970954,1595283399.95,62280,TRANSRAILL
2025-01-23,EQ,566.5,576.7,552.9,568.15,554.7,557.3,564.74,718.9,532.3,1190066,672074241.45,29852,TRANSRAILL
2025-01-22,EQ,572.05,577.9,551.65,568.8,567.75,568.15,564.62,718.9,532.3,1854835,1047277331.0,36674,TRANSRAILL
2025-01-21,EQ,592.25,593.75,563.0,590.55,573.0,568.8,573.32,718.9,532.3,1650924,946514407.0,37968,TRANSRAILL
2025-01-20,EQ,595.0,612.95,585.25,593.5,588.0,590.55,596.59,718.9,532.3,1863438,1111713156.25,43417,TRANSRAILL
2025-01-17,EQ,608.0,616.0,582.35,602.25,592.7,593.5,596.95,718.9,532.3,2545132,1519312778.1,52567,TRANSRAILL
2025-01-16,EQ,625.0,662.95,598.4,596.7,600.45,602.25,631.8,718.9,532.3,8177132,5166334156.25,150847,TRANSRAILL
2025-01-15,EQ,643.3,647.15,587.65,633.15,600.0,596.7,617.42,718.9,532.3,3179756,1963252888.0,65335,TRANSRAILL
2025-01-14,EQ,605.0,645.0,602.45,587.85,632.75,633.15,628.94,718.9,532.3,5734769,3606842081.0,124189,TRANSRAILL
2025-01-13,EQ,632.9,643.8,577.0,647.45,587.5,587.85,604.85,718.9,532.3,5480288,3314770414.1,101063,TRANSRAILL
2025-01-10,EQ,667.7,674.8,636.6,677.15,639.0,647.45,658.29,718.9,532.3,4661606,3068706598.6,84095,TRANSRAILL
2025-01-09,EQ,678.4,713.4,668.0,664.7,673.0,677.15,688.11,718.9,532.3,9557505,6576621025.15,162332,TRANSRAILL
2025-01-08,EQ,670.0,673.7,630.65,669.5,666.6,664.7,652.26,718.9,532.3,4342618,2832524859.95,83165,TRANSRAILL
2025-01-07,EQ,675.0,702.95,636.3,660.4,668.0,669.5,666.01,718.9,532.3,11337902,7551104183.9,212683,TRANSRAILL
2025-01-06,EQ,644.0,718.9,637.0,637.6,654.05,660.4,680.76,718.9,532.3,27590837,18782678098.4,439732,TRANSRAILL
2025-01-03,EQ,658.0,675.0,620.0,642.9,638.05,637.6,640.49,675.0,532.3,7617084,4878688324.4,137410,TRANSRAILL
2025-01-02,EQ,570.5,663.9,564.35,564.9,645.0,642.9,628.3,663.9,532.3,21253307,13353393644.1,360147,TRANSRAILL
2025-01-01,EQ,542.0,571.9,542.0,540.2,567.0,564.9,560.23,605.0,532.3,2521127,1412401838.5,61035,TRANSRAILL
2024-12-31,EQ,555.0,564.0,532.3,555.55,543.9,540.2,542.58,605.0,532.3,1810098,982126934.9,69306,TRANSRAILL
2024-12-30,EQ,558.0,584.2,552.0,553.55,556.0,555.55,566.49,605.0,544.5,5252895,2975723604.2,109462,TRANSRAILL
2024-12-27,EQ,590.0,605.0,544.5,432.0,554.5,553.55,576.34,605.0,544.5,19363730,11160008117.15,392434,TRANSRAILL
