DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-05-02,EQ,580.0,592.9,573.0,574.45,591.0,589.5,583.53,614.8,276.4,2982633,1740463319.1,58767,UJJIVAN
2024-04-30,EQ,571.9,578.4,563.55,566.8,574.5,574.45,571.33,614.8,276.4,1777978,1015803815.15,63770,UJJIVAN
2024-04-29,EQ,568.2,569.95,559.05,559.7,568.75,566.8,562.11,614.8,276.4,1704827,958297244.1,27587,UJJIVAN
2024-04-26,EQ,562.0,572.9,552.2,561.1,562.0,559.7,563.79,614.8,273.3,1218935,687229433.05,27576,UJJIVAN
2024-04-25,EQ,562.0,563.0,555.0,561.2,562.2,561.1,559.17,614.8,273.3,475991,266161734.3,12438,UJJIVAN
2024-04-24,EQ,570.65,574.95,559.0,564.35,559.0,561.2,563.97,614.8,273.3,999330,563593941.5,24342,UJJIVAN
2024-04-23,EQ,572.0,573.0,559.85,566.1,567.9,564.35,561.65,614.8,273.3,2621147,1472166021.8,34809,UJJIVAN
2024-04-22,EQ,576.0,586.85,558.2,551.45,570.9,566.1,570.78,614.8,273.3,2345948,1339008552.05,56950,UJJIVAN
2024-04-19,EQ,525.0,555.35,519.95,526.25,554.7,551.45,547.9,614.8,253.55,2395906,1312718932.05,58680,UJJIVAN
2024-04-18,EQ,531.4,535.8,525.0,524.3,527.0,526.25,530.02,614.8,253.55,236854,125536638.5,17453,UJJIVAN
2024-04-16,EQ,528.95,535.65,520.1,532.6,524.0,524.3,528.07,614.8,253.55,258349,136425328.6,13822,UJJIVAN
2024-04-15,EQ,529.5,541.95,511.0,542.65,535.0,532.6,531.36,614.8,253.55,360949,191794544.25,21473,UJJIVAN
2024-04-12,EQ,550.0,552.25,539.85,547.05,545.0,542.65,544.11,614.8,253.55,250267,136171559.65,11849,UJJIVAN
2024-04-10,EQ,555.5,555.5,544.2,551.2,544.25,547.05,549.43,614.8,253.55,254134,139629758.2,12328,UJJIVAN
2024-04-09,EQ,553.5,565.55,550.35,552.5,552.0,551.2,556.22,614.8,253.55,432653,240650005.65,25157,UJJIVAN
2024-04-08,EQ,560.0,562.8,549.05,557.0,551.0,552.5,554.99,614.8,253.55,548364,304338016.2,22789,UJJIVAN
2024-04-05,EQ,568.0,568.0,547.25,567.95,557.0,557.0,556.76,614.8,251.85,866420,482387166.75,33726,UJJIVAN
2024-04-04,EQ,540.0,572.3,540.0,534.7,570.0,567.95,562.11,614.8,251.85,1830627,1029008031.3,44169,UJJIVAN
2024-04-03,EQ,537.0,543.9,528.35,537.5,535.0,534.7,534.94,614.8,251.85,596642,319167896.0,19990,UJJIVAN
2024-04-02,EQ,500.5,541.9,500.5,503.2,539.15,537.5,526.16,614.8,251.85,951969,500886269.35,29119,UJJIVAN
2024-04-01,EQ,481.0,508.0,480.25,476.4,505.0,503.2,495.15,614.8,251.85,391430,193815745.1,14958,UJJIVAN
2024-03-28,EQ,485.5,492.9,473.05,480.5,475.3,476.4,480.63,614.8,233.0,637992,306636369.75,20418,UJJIVAN
2024-03-27,EQ,491.0,494.25,477.05,491.05,478.05,480.5,482.21,614.8,233.0,764567,368680494.25,31263,UJJIVAN
2024-03-26,EQ,499.1,510.85,488.0,506.05,488.0,491.05,497.68,614.8,233.0,1004874,500108159.75,12373,UJJIVAN
2024-03-22,EQ,515.2,518.45,504.05,514.85,505.1,506.05,511.09,614.8,233.0,265373,135628742.7,9234,UJJIVAN
2024-03-21,EQ,489.5,516.6,489.45,488.7,516.0,514.85,507.26,614.8,233.0,878240,445497430.0,26826,UJJIVAN
2024-03-20,EQ,509.0,510.8,486.25,506.8,489.5,488.7,496.85,614.8,233.0,582320,289328316.85,15404,UJJIVAN
2024-03-19,EQ,505.7,518.0,503.35,511.15,507.9,506.8,507.47,614.8,233.0,590603,299710397.0,19634,UJJIVAN
2024-03-18,EQ,496.0,513.8,496.0,495.5,510.0,511.15,507.37,614.8,233.0,580221,294387386.55,18136,UJJIVAN
2024-03-15,EQ,487.9,499.0,483.15,484.15,498.95,495.5,490.83,614.8,233.0,909839,446573251.0,82686,UJJIVAN
2024-03-14,EQ,475.0,492.0,464.0,469.7,488.25,484.15,479.57,614.8,233.0,959011,459916174.25,34817,UJJIVAN
2024-03-13,EQ,485.0,514.35,462.65,484.85,473.95,469.7,480.92,614.8,233.0,2468890,1187342049.3,70084,UJJIVAN
2024-03-12,EQ,502.0,507.95,479.45,503.5,484.9,484.85,487.68,614.8,233.0,1235846,602696200.25,34392,UJJIVAN
2024-03-11,EQ,527.05,528.75,501.1,523.25,501.5,503.5,511.71,614.8,233.0,588393,301088865.95,17072,UJJIVAN
2024-03-07,EQ,521.0,533.45,520.7,523.45,522.45,523.25,526.51,614.8,233.0,609480,320894711.95,20068,UJJIVAN
2024-03-06,EQ,539.7,539.7,514.1,541.4,524.2,523.45,524.01,614.8,233.0,569724,298542014.55,20596,UJJIVAN
2024-03-05,EQ,551.95,553.95,538.1,552.4,540.0,541.4,543.88,614.8,233.0,336415,182969709.05,9833,UJJIVAN
2024-03-04,EQ,552.9,557.9,548.7,547.65,550.6,552.4,553.48,614.8,233.0,625904,346422438.1,16525,UJJIVAN
2024-03-02,EQ,554.7,554.7,545.25,547.35,547.05,547.65,548.04,614.8,233.0,28765,15764387.95,799,UJJIVAN
2024-03-01,EQ,549.0,557.8,546.2,549.05,550.0,547.35,550.16,614.8,233.0,573646,315597800.35,13704,UJJIVAN
2024-02-29,EQ,525.5,555.0,519.05,524.6,550.6,549.05,544.71,614.8,233.0,1260744,686735281.3,30189,UJJIVAN
2024-02-28,EQ,534.9,538.0,522.4,531.95,524.95,524.6,528.47,614.8,233.0,315895,166942549.4,13072,UJJIVAN
