DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,148.0,148.85,141.0,146.94,141.85,141.62,144.09,263.99,141.0,390859,56317081.85,9208,UNIECOM
2025-01-23,EQ,150.0,152.95,145.5,150.66,145.9,146.94,149.15,263.99,145.5,388671,57971720.98,9899,UNIECOM
2025-01-22,EQ,160.01,160.5,150.0,160.94,150.42,150.66,151.46,263.99,148.2,578404,87604873.07,16710,UNIECOM
2025-01-21,EQ,159.75,163.54,159.44,159.25,160.05,160.94,161.48,263.99,148.2,282627,45637517.67,6825,UNIECOM
2025-01-20,EQ,158.5,159.8,155.99,158.09,159.5,159.25,158.18,263.99,148.2,254212,40212127.76,6272,UNIECOM
2025-01-17,EQ,157.0,159.5,154.12,156.22,157.55,158.09,156.7,263.99,148.2,191548,30015299.4,4482,UNIECOM
2025-01-16,EQ,155.4,158.7,155.4,153.6,156.49,156.22,156.98,263.99,148.2,195306,30658423.23,6240,UNIECOM
2025-01-15,EQ,153.3,159.49,151.2,152.12,153.88,153.6,155.24,263.99,148.2,510140,79195332.41,7702,UNIECOM
2025-01-14,EQ,151.95,154.74,148.21,149.69,152.09,152.12,152.01,263.99,148.2,418856,63671313.19,8782,UNIECOM
2025-01-13,EQ,155.5,157.9,148.2,157.22,150.0,149.69,152.47,263.99,148.2,429897,65545038.38,11927,UNIECOM
2025-01-10,EQ,163.61,163.68,156.25,163.92,158.0,157.22,158.75,263.99,156.25,472629,75030495.92,13602,UNIECOM
2025-01-09,EQ,164.98,166.47,163.0,164.67,163.77,163.92,164.66,263.99,161.0,276845,45585346.92,6171,UNIECOM
2025-01-08,EQ,165.61,165.96,163.12,165.61,165.25,164.67,164.25,263.99,161.0,220343,36190661.49,6270,UNIECOM
2025-01-07,EQ,163.24,167.85,163.01,162.43,165.8,165.61,165.62,263.99,161.0,435583,72139389.23,7551,UNIECOM
2025-01-06,EQ,169.91,170.44,161.04,169.92,163.4,162.43,163.83,263.99,161.0,584702,95792411.77,17981,UNIECOM
2025-01-03,EQ,172.4,172.95,169.5,171.8,169.7,169.92,170.68,263.99,161.0,282319,48186003.51,9050,UNIECOM
2025-01-02,EQ,174.35,175.3,171.15,173.58,171.81,171.8,172.48,263.99,161.0,270768,46703021.71,6237,UNIECOM
2025-01-01,EQ,168.0,174.6,168.0,168.37,174.0,173.58,172.4,263.99,161.0,412819,71170321.94,8596,UNIECOM
