DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,665.0,677.0,664.95,673.95,668.0,670.3,673.08,774.5,653.6,337415,227107578.45,5396,VENTIVE
2025-01-23,EQ,665.05,680.0,662.55,672.45,666.0,673.95,673.85,774.5,653.6,122551,82581186.45,5270,VENTIVE
2025-01-22,EQ,688.0,697.35,663.25,689.25,669.0,672.45,680.68,774.5,653.6,399920,272217079.75,16108,VENTIVE
2025-01-21,EQ,689.9,699.5,677.5,692.15,690.0,689.25,688.61,774.5,653.6,173619,119555905.05,7093,VENTIVE
2025-01-20,EQ,689.8,707.1,678.0,687.0,688.9,692.15,695.37,774.5,653.6,232802,161884474.8,6604,VENTIVE
2025-01-17,EQ,680.95,696.0,671.55,679.55,681.5,687.0,688.95,774.5,653.6,271409,186986049.05,11763,VENTIVE
2025-01-16,EQ,685.0,685.0,667.5,669.15,680.1,679.55,675.56,774.5,653.6,365229,246733773.9,14983,VENTIVE
2025-01-15,EQ,684.0,692.2,668.05,685.6,670.0,669.15,670.97,774.5,653.6,390845,262246085.95,6961,VENTIVE
2025-01-14,EQ,681.0,699.45,666.0,678.9,691.0,685.6,682.48,774.5,653.6,252008,171990740.0,7249,VENTIVE
2025-01-13,EQ,698.95,699.95,653.6,701.3,678.9,678.9,676.4,774.5,653.6,615139,416080952.45,20324,VENTIVE
2025-01-10,EQ,711.2,715.0,685.5,716.55,706.0,701.3,700.99,774.5,685.5,658346,461492885.65,13774,VENTIVE
2025-01-09,EQ,723.0,724.85,706.5,719.7,715.0,716.55,715.01,774.5,695.2,342111,244612076.45,6784,VENTIVE
2025-01-08,EQ,718.25,725.9,698.45,722.05,716.0,719.7,714.53,774.5,695.2,513520,366926035.15,15023,VENTIVE
2025-01-07,EQ,719.5,726.7,707.0,712.45,719.0,722.05,716.74,774.5,695.2,792194,567794075.6,15628,VENTIVE
2025-01-06,EQ,740.0,742.65,704.05,739.95,715.0,712.45,716.77,774.5,695.2,1214818,870747564.6,23256,VENTIVE
2025-01-03,EQ,738.35,758.0,728.05,738.35,740.6,739.95,742.16,774.5,695.2,822194,610199774.95,17789,VENTIVE
2025-01-02,EQ,725.8,774.5,712.25,721.15,740.1,738.35,746.19,774.5,695.2,2261727,1687676388.1,66037,VENTIVE
2025-01-01,EQ,724.85,728.1,710.7,719.85,720.85,721.15,720.44,749.0,695.2,548645,395263762.1,19382,VENTIVE
2024-12-31,EQ,706.0,725.0,695.2,704.35,723.6,719.85,710.62,749.0,695.2,1752758,1245538903.3,29098,VENTIVE
2024-12-30,EQ,716.0,749.0,702.0,643.0,705.6,704.35,721.84,749.0,702.0,12283534,8866690786.85,208852,VENTIVE
