DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,2369.95,2394.4,2207.0,2343.4,2225.0,2241.7,2284.93,3743.0,2207.0,2527905,5776097861.0,146885,WAAREEENER
2025-01-23,EQ,2435.9,2464.3,2317.85,2425.1,2355.95,2343.4,2380.08,3743.0,2300.0,2825108,6723993800.1,211795,WAAREEENER
2025-01-22,EQ,2680.0,2680.0,2362.25,2673.4,2424.0,2425.1,2457.42,3743.0,2300.0,5626060,13825607865.95,323312,WAAREEENER
2025-01-21,EQ,2674.55,2721.0,2591.1,2634.6,2678.0,2673.4,2656.74,3743.0,2300.0,1216649,3232325903.65,77298,WAAREEENER
2025-01-20,EQ,2620.9,2667.45,2611.0,2605.3,2638.5,2634.6,2638.01,3743.0,2300.0,543690,1434262338.85,37328,WAAREEENER
2025-01-17,EQ,2656.0,2656.0,2595.0,2648.5,2606.0,2605.3,2612.08,3743.0,2300.0,421725,1101580611.75,33968,WAAREEENER
2025-01-16,EQ,2650.0,2683.95,2630.05,2609.9,2656.0,2648.5,2656.37,3743.0,2300.0,738069,1960584074.5,51028,WAAREEENER
2025-01-15,EQ,2655.0,2684.9,2590.0,2617.1,2609.0,2609.9,2636.22,3743.0,2300.0,981806,2588258956.05,57143,WAAREEENER
2025-01-14,EQ,2520.0,2635.0,2493.1,2487.2,2635.0,2617.1,2578.38,3743.0,2300.0,1667039,4298263933.9,114209,WAAREEENER
2025-01-13,EQ,2552.25,2648.0,2475.0,2565.0,2487.95,2487.2,2552.19,3743.0,2300.0,1691859,4317948679.2,110633,WAAREEENER
2025-01-10,EQ,2585.0,2647.55,2560.0,2600.4,2561.0,2565.0,2593.28,3743.0,2300.0,1258932,3264760944.0,89426,WAAREEENER
2025-01-09,EQ,2693.3,2693.3,2591.0,2697.65,2597.0,2600.4,2625.42,3743.0,2300.0,1032882,2711745510.45,79443,WAAREEENER
