DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,107.8,108.47,106.0,107.04,106.04,106.39,106.61,177.0,105.05,101311,10801257.13,2274,WCIL
2025-01-23,EQ,109.35,109.35,106.5,108.15,106.51,107.04,107.7,177.0,105.05,149815,16134978.72,3540,WCIL
2025-01-22,EQ,109.11,110.44,105.61,109.28,109.0,108.15,107.25,177.0,105.05,161109,17278446.36,3203,WCIL
2025-01-21,EQ,111.67,113.59,108.7,111.47,109.1,109.28,110.86,177.0,105.05,116187,12880400.1,2365,WCIL
2025-01-20,EQ,110.48,112.64,109.06,109.67,111.3,111.47,110.64,177.0,105.05,182778,20222180.71,3000,WCIL
2025-01-17,EQ,109.48,110.84,107.62,109.27,110.48,109.67,108.85,177.0,105.05,173219,18855103.68,3652,WCIL
2025-01-16,EQ,108.41,112.0,108.41,106.41,109.48,109.27,109.5,177.0,105.05,168480,18449139.61,2387,WCIL
2025-01-15,EQ,107.6,108.09,105.51,106.02,106.6,106.41,106.43,177.0,105.05,303822,32336476.17,4769,WCIL
2025-01-14,EQ,105.54,108.9,105.25,105.47,106.48,106.02,106.67,177.0,105.05,309917,33059396.22,8004,WCIL
2025-01-13,EQ,108.11,110.87,105.05,109.55,105.66,105.47,107.39,177.0,105.05,339386,36445631.49,7173,WCIL
2025-01-10,EQ,112.97,113.53,107.9,112.63,109.54,109.55,110.04,177.0,107.9,433140,47661787.03,7229,WCIL
2025-01-09,EQ,113.98,114.98,112.26,113.98,113.35,112.63,113.48,177.0,109.97,139122,15787041.15,3510,WCIL
2025-01-08,EQ,116.0,116.5,113.1,115.93,114.13,113.98,114.1,177.0,109.97,218508,24931769.91,5251,WCIL
2025-01-07,EQ,115.85,118.0,114.5,114.15,115.19,115.93,115.76,177.0,109.97,350098,40527216.16,6550,WCIL
2025-01-06,EQ,123.0,124.25,113.2,121.45,115.0,114.15,119.05,177.0,109.97,697877,83081312.78,9183,WCIL
2025-01-03,EQ,115.99,135.0,115.99,115.9,121.0,121.45,124.54,177.0,109.97,2463672,306825604.51,28143,WCIL
2025-01-02,EQ,115.8,117.0,114.5,115.04,116.0,115.9,115.84,177.0,109.97,256535,29717086.15,6896,WCIL
2025-01-01,EQ,114.05,117.67,114.05,114.05,114.92,115.04,115.53,177.0,109.97,272693,31504680.03,5284,WCIL
2024-12-31,EQ,114.7,114.99,112.14,114.7,114.15,114.05,113.49,177.0,109.97,194969,22127520.8,3571,WCIL
2024-12-30,EQ,120.89,120.9,114.0,120.0,114.9,114.7,116.75,177.0,109.97,329570,38478019.52,5859,WCIL
2024-12-27,EQ,112.8,122.5,112.36,111.93,120.1,120.0,119.4,177.0,109.97,1511587,180487658.6,19683,WCIL
2024-12-26,EQ,112.9,114.9,111.5,110.73,112.0,111.93,112.7,177.0,109.97,655773,73903191.66,14971,WCIL
2024-12-24,EQ,111.95,112.23,109.97,111.04,111.02,110.73,110.82,177.0,109.97,348464,38615847.51,5251,WCIL
2024-12-23,EQ,114.05,115.33,110.51,112.41,111.02,111.04,112.03,177.0,110.51,303905,34045961.68,4194,WCIL
2024-12-20,EQ,116.5,116.87,112.0,114.22,112.02,112.41,113.69,177.0,112.0,413905,47058835.97,6616,WCIL
2024-12-19,EQ,116.05,118.99,112.6,119.22,114.05,114.22,115.16,177.0,112.6,971036,111821379.83,21876,WCIL
2024-12-18,EQ,122.51,124.5,118.0,123.81,119.7,119.22,120.73,177.0,116.2,576468,69594559.56,11369,WCIL
2024-12-17,EQ,128.26,129.44,123.5,128.25,123.99,123.81,125.06,177.0,116.2,367981,46017990.66,8892,WCIL
2024-12-16,EQ,128.0,130.0,127.52,128.44,128.26,128.25,128.5,177.0,116.2,125530,16130324.72,2628,WCIL
2024-12-13,EQ,128.0,129.38,126.61,128.3,128.5,128.44,127.98,177.0,116.2,162983,20858659.41,2749,WCIL
2024-12-12,EQ,131.1,131.58,127.2,130.57,128.5,128.3,129.52,177.0,116.2,142323,18433655.04,3237,WCIL
2024-12-11,EQ,132.8,133.18,130.0,132.15,130.3,130.57,131.31,177.0,116.2,176161,23131275.25,3551,WCIL
2024-12-10,EQ,133.75,134.33,131.53,133.56,132.0,132.15,132.21,177.0,116.2,141973,18770097.84,2765,WCIL
2024-12-09,EQ,134.85,135.92,133.0,134.3,133.71,133.56,134.23,177.0,116.2,215235,28890706.25,3925,WCIL
2024-12-06,EQ,130.45,139.0,130.05,130.27,133.5,134.3,135.28,177.0,116.2,668715,90463641.1,8909,WCIL
2024-12-05,EQ,130.25,131.45,129.91,129.49,130.2,130.27,130.55,177.0,116.2,140976,18404427.92,2330,WCIL
2024-12-04,EQ,131.81,133.19,128.5,130.99,130.0,129.49,130.98,177.0,116.2,235782,30882356.64,4235,WCIL
2024-12-03,EQ,130.6,133.1,130.0,129.57,130.85,130.99,131.39,177.0,116.2,265594,34896856.74,4083,WCIL
2024-12-02,EQ,127.54,129.95,125.52,127.36,129.9,129.57,128.41,177.0,116.2,234109,30061160.67,3833,WCIL
2024-11-29,EQ,125.89,128.6,123.62,124.96,127.49,127.36,126.03,177.0,116.2,377387,47562614.6,7756,WCIL
2024-11-28,EQ,124.9,127.0,123.62,123.3,124.87,124.96,125.4,177.0,116.2,348194,43664681.56,11656,WCIL
2024-11-27,EQ,117.45,126.5,117.1,117.4,123.5,123.3,123.42,177.0,116.2,713915,88110285.67,9816,WCIL
2024-11-26,EQ,119.5,120.29,116.8,119.37,117.47,117.4,117.76,177.0,116.2,516515,60825234.12,10548,WCIL
2024-11-25,EQ,122.0,124.3,119.0,118.62,119.35,119.37,120.2,177.0,116.2,181758,21847883.89,5979,WCIL
2024-11-22,EQ,117.01,119.25,116.61,116.76,118.9,118.62,118.02,177.0,116.2,129850,15324610.42,4277,WCIL
2024-11-21,EQ,119.82,120.03,116.2,119.82,117.9,116.76,117.45,177.0,116.2,161357,18952024.06,6039,WCIL
2024-11-19,EQ,120.05,122.55,119.0,119.47,120.5,119.82,120.44,177.0,118.09,246294,29664071.89,8505,WCIL
2024-11-18,EQ,120.0,122.85,118.09,119.1,120.48,119.47,119.78,177.0,118.09,197951,23711488.2,6781,WCIL
2024-11-14,EQ,121.43,122.89,118.24,121.43,119.11,119.1,119.89,177.0,118.24,302513,36267233.61,8605,WCIL
2024-11-13,EQ,125.64,127.44,121.0,126.76,122.0,121.43,122.46,177.0,121.0,353290,43265649.79,10429,WCIL
2024-11-12,EQ,130.37,130.97,125.73,129.28,126.3,126.76,128.52,177.0,123.5,210484,27051628.02,5232,WCIL
2024-11-11,EQ,132.29,133.71,129.0,132.18,129.53,129.28,130.47,177.0,123.5,193284,25217947.29,5773,WCIL
2024-11-08,EQ,135.5,136.23,130.34,136.14,132.29,132.18,132.84,177.0,123.5,259913,34528106.72,6774,WCIL
2024-11-07,EQ,137.88,139.8,135.5,137.86,135.55,136.14,137.73,177.0,123.5,301935,41585509.31,6813,WCIL
2024-11-06,EQ,129.59,139.0,128.8,127.94,137.75,137.86,135.41,177.0,123.5,863047,116865482.63,15384,WCIL
2024-11-05,EQ,129.44,129.83,127.55,128.44,127.8,127.94,128.21,177.0,123.5,204446,26212295.31,4802,WCIL
2024-11-04,EQ,132.9,134.43,127.56,132.3,128.4,128.44,129.59,177.0,123.5,242186,31384752.55,6175,WCIL
2024-11-01,EQ,129.9,132.65,129.8,128.65,132.5,132.3,131.92,177.0,123.5,109253,14413019.85,2530,WCIL
2024-10-31,EQ,126.46,132.0,125.24,126.46,128.75,128.65,128.74,177.0,123.5,304568,39209604.48,8051,WCIL
2024-10-30,EQ,126.42,128.9,125.5,125.93,126.32,126.46,126.47,177.0,123.5,353998,44770642.72,15024,WCIL
2024-10-29,EQ,124.52,126.88,123.5,124.52,126.1,125.93,125.68,177.0,123.5,215755,27115060.11,5648,WCIL
2024-10-28,EQ,127.93,129.43,124.01,127.17,124.4,124.52,125.25,177.0,124.01,411316,51517210.0,12388,WCIL
2024-10-25,EQ,132.92,134.43,125.0,132.8,126.2,127.17,128.81,177.0,125.0,318929,41080429.3,11933,WCIL
2024-10-24,EQ,137.95,137.95,132.57,136.42,132.71,132.8,133.86,177.0,132.57,218790,29287634.85,6354,WCIL
2024-10-23,EQ,138.48,139.38,133.7,136.86,136.99,136.42,137.1,177.0,133.7,238137,32649319.77,8174,WCIL
2024-10-22,EQ,143.84,144.49,136.25,143.73,136.68,136.86,138.85,177.0,136.25,304219,42241035.86,9699,WCIL
2024-10-21,EQ,148.5,149.69,143.0,148.69,143.9,143.73,144.47,177.0,140.89,299021,43198313.76,13187,WCIL
2024-10-18,EQ,148.0,154.44,146.31,145.33,148.48,148.69,149.19,177.0,140.89,473648,70663819.14,12815,WCIL
2024-10-17,EQ,150.0,150.0,145.0,148.83,145.5,145.33,146.8,177.0,140.89,202789,29768840.76,6800,WCIL
