DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,18.45,18.63,18.15,18.47,18.25,18.24,18.32,32.85,17.06,60357643,1105601607.23,71347,YESBANK
2025-01-23,EQ,18.26,18.62,18.04,18.35,18.44,18.47,18.35,32.85,17.06,83253385,1527871789.18,78337,YESBANK
2025-01-22,EQ,18.69,18.69,17.98,18.5,18.33,18.35,18.28,32.85,17.06,93719498,1712774095.74,97680,YESBANK
2025-01-21,EQ,19.08,19.08,18.45,18.93,18.52,18.5,18.71,32.85,17.06,88040986,1647354091.47,90070,YESBANK
2025-01-20,EQ,18.29,19.13,18.26,18.26,18.94,18.93,18.8,32.85,17.06,108954125,2048114676.41,114401,YESBANK
2025-01-17,EQ,18.28,18.37,17.96,18.29,18.26,18.26,18.22,32.85,17.06,61440794,1119552912.99,74840,YESBANK
2025-01-16,EQ,18.24,18.56,18.19,17.97,18.3,18.29,18.34,32.85,17.06,83579795,1533104730.13,88743,YESBANK
2025-01-15,EQ,18.09,18.22,17.86,18.02,17.97,17.97,18.04,32.85,17.06,91857646,1657325516.57,85172,YESBANK
2025-01-14,EQ,17.19,18.13,17.18,17.12,18.09,18.02,17.74,32.85,17.06,95583809,1696032577.9,100471,YESBANK
2025-01-13,EQ,17.93,17.93,17.06,17.96,17.16,17.12,17.46,32.85,17.06,119009652,2077450185.95,135046,YESBANK
2025-01-10,EQ,18.48,18.5,17.92,18.49,17.97,17.96,18.1,32.85,17.92,100828645,1824631376.78,117157,YESBANK
2025-01-09,EQ,18.74,18.84,18.45,18.77,18.5,18.49,18.63,32.85,18.45,71629389,1334205633.3,95225,YESBANK
2025-01-08,EQ,19.02,19.08,18.66,19.02,18.78,18.77,18.8,32.85,18.66,87612688,1647215076.16,96369,YESBANK
2025-01-07,EQ,19.01,19.11,18.8,18.9,19.02,19.02,19.0,32.85,18.8,67368307,1280095905.03,87145,YESBANK
2025-01-06,EQ,19.98,20.03,18.84,19.96,18.93,18.9,19.23,32.85,18.84,121876031,2343377361.0,137189,YESBANK
2025-01-03,EQ,19.62,20.19,19.6,19.59,19.94,19.96,20.01,32.85,19.02,99584232,1992732373.29,87682,YESBANK
2025-01-02,EQ,19.6,19.7,19.32,19.63,19.59,19.59,19.51,32.85,19.02,66997388,1307035839.71,96104,YESBANK
2025-01-01,EQ,19.6,19.7,19.52,19.59,19.65,19.63,19.62,32.85,19.02,51991164,1020147497.25,66667,YESBANK
2024-12-31,EQ,19.5,19.7,19.35,19.54,19.63,19.59,19.54,32.85,19.02,60378102,1179635560.48,86452,YESBANK
2024-12-30,EQ,19.83,20.19,19.41,19.82,19.59,19.54,19.79,32.85,19.02,83650841,1655309387.78,116121,YESBANK
2024-12-27,EQ,19.82,20.12,19.78,19.8,19.83,19.82,19.94,32.85,19.02,43277533,862773805.1,81402,YESBANK
2024-12-26,EQ,19.92,19.94,19.71,19.8,19.84,19.8,19.81,32.85,19.02,55846692,1106388016.38,79827,YESBANK
2024-12-24,EQ,19.91,19.99,19.75,19.91,19.79,19.8,19.88,32.85,19.02,44708100,888634800.95,69173,YESBANK
2024-12-23,EQ,19.9,20.08,19.77,19.83,19.89,19.91,19.89,32.85,19.02,52729673,1048778893.05,84383,YESBANK
2024-12-20,EQ,20.37,20.5,19.75,20.36,19.83,19.83,20.12,32.85,19.02,76096639,1531325279.55,84533,YESBANK
2024-12-19,EQ,20.3,20.44,20.17,20.62,20.44,20.36,20.33,32.85,19.02,51324521,1043295224.24,74905,YESBANK
2024-12-18,EQ,20.96,21.06,20.58,20.96,20.62,20.62,20.81,32.85,19.02,86755291,1805417326.84,102116,YESBANK
2024-12-17,EQ,21.2,21.44,20.9,21.25,20.92,20.96,21.16,32.85,19.02,148915011,3151570969.88,100277,YESBANK
2024-12-16,EQ,21.15,21.58,21.12,21.09,21.26,21.25,21.36,32.85,19.02,71194846,1520434011.65,88880,YESBANK
2024-12-13,EQ,21.15,21.2,20.7,21.2,21.15,21.09,20.97,32.85,19.02,97287009,2040462383.31,94601,YESBANK
2024-12-12,EQ,21.5,21.59,21.12,21.58,21.24,21.2,21.34,32.85,19.02,179952016,3839852481.78,111360,YESBANK
2024-12-11,EQ,21.5,21.73,21.45,21.6,21.52,21.58,21.57,32.85,19.02,65929641,1422120855.86,82392,YESBANK
2024-12-10,EQ,21.84,21.87,21.36,21.84,21.58,21.6,21.58,32.85,19.02,91877760,1982518131.91,111018,YESBANK
2024-12-09,EQ,21.49,22.02,21.46,21.49,21.81,21.84,21.83,32.85,19.02,113868644,2485789483.63,131298,YESBANK
2024-12-06,EQ,21.19,21.58,21.09,21.17,21.53,21.49,21.36,32.85,19.02,127231060,2717606876.68,110941,YESBANK
2024-12-05,EQ,21.39,21.39,21.05,21.23,21.17,21.17,21.18,32.85,19.02,83133989,1760736479.2,96055,YESBANK
2024-12-04,EQ,20.99,21.39,20.81,20.84,21.24,21.23,21.11,32.85,19.02,135391370,2857705848.42,124757,YESBANK
2024-12-03,EQ,20.15,21.1,20.12,20.09,20.84,20.84,20.79,32.85,19.02,150187297,3123082222.24,132703,YESBANK
2024-12-02,EQ,19.96,20.19,19.9,19.96,20.1,20.09,20.06,32.85,19.02,68351418,1371054241.93,85986,YESBANK
2024-11-29,EQ,20.35,20.52,19.91,20.36,19.96,19.96,20.11,32.85,19.02,123352713,2480247335.77,112416,YESBANK
2024-11-28,EQ,20.1,20.65,20.06,20.26,20.38,20.36,20.4,32.85,19.02,101691031,2074744083.39,104193,YESBANK
2024-11-27,EQ,20.14,20.35,19.84,20.14,20.27,20.26,20.18,32.85,19.02,82352775,1662015558.31,95158,YESBANK
2024-11-26,EQ,19.2,20.63,19.2,19.18,20.14,20.14,20.19,32.85,19.02,184040834,3716302685.64,163288,YESBANK
2024-11-25,EQ,19.51,19.72,19.06,19.21,19.14,19.18,19.35,32.85,19.02,119882710,2320244457.57,116456,YESBANK
2024-11-22,EQ,19.12,19.34,19.12,19.13,19.22,19.21,19.22,32.85,19.02,47148202,906194639.06,75107,YESBANK
2024-11-21,EQ,19.49,19.49,19.04,19.56,19.14,19.13,19.22,32.85,19.02,57253095,1100336850.81,87575,YESBANK
